Item,Indentation,"Allconsumerunits","Lowest20percent","Second20percent","Third20percent","Fourth20percent","Highest20percent"
Flour*,5,10.29,6.98,8.39,10.48,13.67,11.97
Prepared flour mixes*,5,13.20,8.99,10.98,9.99,15.14,20.91
Ready-to-eat and cooked cereals*,5,80.43,51.41,66.55,83.42,89.98,110.76
Rice*,5,30.32,17.54,21.15,37.44,33.51,41.93
"Pasta, cornmeal and other cereal products*",5,37.50,19.99,29.57,32.71,46.37,58.82
White bread*,6,45.76,31.10,38.37,44.24,51.21,63.86
"Bread, other than white*",6,58.39,35.13,46.95,57.11,65.05,87.66
Cookies*,6,49.95,27.79,38.11,52.51,55.18,76.10
Crackers*,6,38.19,20.22,25.42,36.65,45.24,63.37
Frozen and refrigerated bakery products*,5,26.86,16.83,20.16,25.46,33.69,38.13
Biscuits and rolls*,6,49.72,26.96,39.06,45.48,62.77,74.29
Cakes and cupcakes*,6,37.23,24.65,26.57,35.53,39.44,59.93
Bread and cracker products*,6,6.32,2.87,4.47,6.87,7.67,9.72
"Sweetrolls, coffee cakes, doughnuts*",6,24.40,14.73,22.64,24.35,29.00,31.24
"Pies, tarts, turnovers*",6,15.88,9.27,15.03,11.12,20.32,23.63
Ground beef*,5,97.45,75.85,92.05,92.51,110.87,115.92
Chuck roast*,6,11.05,8.17,14.84,9.64,7.75,14.87
Round roast*,6,4.58,2.81,3.58,5.66,5.29,5.52
Other roast*,6,18.70,11.35,18.35,15.30,22.86,25.62
Round steak*,6,18.51,12.39,13.43,13.90,22.57,30.23
Sirloin steak*,6,26.84,14.69,16.69,23.12,30.58,49.10
Other steak*,6,48.24,26.46,32.62,43.90,55.10,83.08
Other beef*,5,18.37,12.91,12.97,15.85,21.07,29.06
Bacon*,5,38.72,28.48,31.18,36.42,49.25,48.24
Pork chops*,5,24.23,26.89,20.80,21.92,26.00,25.54
"Ham, not canned*",6,31.24,22.67,26.79,31.71,34.13,40.87
Canned ham*,6,.67,.44,1.26,.24,.79,.60
Sausage*,5,32.45,20.94,29.16,30.35,37.64,44.13
Other pork*,5,41.61,28.24,33.78,36.37,49.71,59.94
Frankfurters*,5,22.80,16.59,20.50,21.18,24.85,30.85
"Bologna, liverwurst, salami*",6,27.68,20.04,23.64,27.31,31.43,35.95
Other lunchmeats*,6,61.00,36.57,44.74,53.59,69.95,100.12
Lamb and organ meats*,6,6.87,1.83,3.04,3.96,10.58,14.92
"Mutton, goat and game*",6,1.85,.93,3.67,.70,1.59,2.36
Fresh and frozen whole chicken*,6,43.59,29.28,37.02,37.35,51.09,63.16
Fresh and frozen chicken parts*,6,96.56,69.58,73.50,85.93,112.10,141.62
Other poultry*,5,31.37,17.61,24.54,25.85,39.82,49.03
Canned fish and seafood*,5,18.42,14.43,14.94,16.82,21.51,24.41
Fresh fish and shellfish*,5,65.90,40.38,34.39,45.57,70.85,138.22
Frozen fish and shellfish*,5,45.41,29.99,30.78,46.57,51.72,67.97
Eggs*,4,55.89,37.95,51.52,49.16,61.99,78.80
"Fresh milk, all types*",5,114.15,84.36,96.75,110.73,126.51,152.37
Cream*,5,24.80,12.83,17.94,21.60,31.64,39.99
Butter*,5,28.13,16.34,21.09,29.48,33.90,39.85
Cheese*,5,127.37,72.98,92.40,116.36,149.49,205.52
Ice cream and related products*,5,58.81,35.41,48.03,55.81,63.89,90.86
Miscellaneous dairy products*,5,56.50,24.46,39.93,49.68,66.59,101.79
Apples*,5,43.63,21.15,32.69,37.37,50.59,76.34
Bananas*,5,45.65,25.78,34.72,41.35,55.76,70.59
Oranges*,5,30.72,18.28,22.94,28.54,34.54,49.30
"Citrus fruits, excluding oranges*",5,45.91,24.61,33.52,40.85,49.95,80.57
Other fresh fruits*,5,122.10,64.55,89.02,113.40,138.03,205.42
Potatoes*,5,40.88,23.66,32.80,35.87,46.26,65.77
Lettuce*,5,33.21,18.20,24.89,29.12,39.00,54.81
Tomatoes*,5,43.19,26.19,33.01,39.30,50.52,66.92
Other fresh vegetables*,5,136.33,68.66,97.77,121.86,157.75,235.48
Frozen orange juice*,6,1.92,1.23,2.29,1.09,2.26,2.72
Frozen fruits*,6,8.57,2.82,4.90,6.78,11.62,16.70
Frozen fruit juices*,6,1.71,1.42,.90,1.54,2.01,2.71
Frozen vegetables*,5,34.54,20.93,25.22,30.07,43.15,53.31
Canned beans*,6,25.18,17.68,19.44,24.24,33.15,31.38
Canned corn*,6,12.76,7.94,9.10,10.80,18.39,17.54
Canned miscellaneous vegetables*,6,25.65,15.02,19.63,22.24,31.99,39.34
Dried peas*,6,.32,.23,.27,.22,.36,.53
